commit,features,cpu,os,rustc_wsl,valgrind,component,scope,method,arm_or_pair,raw_ir_values,shared_prefix,isolated_ir,ops,ir_per_op,pct_of_overflow_event,notes
66282c36415f750c16ec3f279e1abc430db3997c,production bench-internals,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,flush_class_standalone,standalone call (new hook),shared-prefix (R28-1 pair),dealloc_flush_class_only_16b - dealloc_flush_class_only_16b_prefix,"4338;3889",3889,449,8,56.10,77.3%,flush_class(8 blocks) isolated via dbg_flush_class_only; the deliverable of this task
66282c36415f750c16ec3f279e1abc430db3997c,production bench-internals,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,one_overflow_event_full_free_remeasured,SCOPE_A (full free),shared-prefix (R24-2 pair; re-measured this task),dealloc_free_only_16b_n17 - dealloc_free_only_16b_n16,"8292;7711",n16,581,1,581.00,100%,re-measured at this task's base rev; R24-2 measured 571 at 14a86ce (~10 Ir / 1.8% cross-round drift)
66282c36415f750c16ec3f279e1abc430db3997c,production bench-internals,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,bitmap_clear_pass_historical,raw loop (hook, R24-2 -- hook removed R27-10),shared-prefix (R24-2 hook; NOT re-measured -- hook removed),n/a (historical R24-2 figure; mechanism unchanged),n/a,n/a,84,8 (iterations),10.50,14.5%,carried forward from R24_2_FREE_BY_MAGAZINE_STATE_GATE.md; loop body still runs inline at the call site post-R27-10, just without a standalone hook to re-isolate it
66282c36415f750c16ec3f279e1abc430db3997c,production bench-internals,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,compaction_plus_final_push_residual,SCOPE_A (derived residual),derived (overflow_total - bitmap_clear - flush_class),581 - 84 - 449,n/a,48,1,48.00,8.3%,residual after subtracting both isolated sub-costs from today's re-measured overflow-event total
66282c36415f750c16ec3f279e1abc430db3997c,production bench-internals,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,r24_2_remainder_reconciliation,SCOPE_A (derived recon),derived (today's overflow_total - historical bitmap_clear),581 - 84,n/a,497,1,497.00,n/a,reconciles with R24-2's own 571-84=487 Ir remainder estimate to within 2.1% (10 Ir cross-round drift)
