commit,arm_a_features,arm_b_features,cpu,os,rustc,protocol,comparison,phase,metric,mean_a_launch_ns,mean_b_launch_ns,paired_delta_AminusB_ns,sd_ns,se_ns,t,crit_p05,significant,sign_a_faster,sign_b_faster,n_pairs,sd_over_delta_pct,env_resolves_effect,segments_a,segments_b,commit_kib_a,commit_kib_b,rss_kib_a,rss_kib_b,cache_hit_rate_pct_b_approx,host_cpu_load_pct
912740f,production,production+medium-classes,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo12_off_vs_on,alloc,alloc_ns,3754897,151465,3603432 (runner block-paired: +3680585),328332,73417,50.132,2.101,yes(B-faster/medium wins),0,20,20,8.9,YES,329,172,34497,50518,3167,9572,46.25,66-94 (high; shared dev-host)
912740f,production,production+medium-classes,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo12_off_vs_on,free,free_ns,15150768,75621,15075147 (runner: +14891233),433096,96843,153.767,2.101,yes(B-faster/medium wins),0,20,20,2.9,YES,329,172,34497,50518,3167,9572,46.25,66-94 (high; shared dev-host)
912740f,production,production+medium-classes,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo12_off_vs_on,realloc,realloc_ns,55986,64942727,-64886741 (runner: -66054955),7745895,1732035,-38.137,2.101,yes(A-faster/medium ~1180x slower),20,0,20,11.7,YES,329,172,34497,50518,3167,9572,46.25,66-94 (high; shared dev-host)
912740f,production,production+medium-classes+large-cache-extended,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo3_off_vs_onext,alloc,alloc_ns,3471147,136783,3334364 (runner: +3262495),119542,26731,122.051,2.101,yes(B-faster/medium wins),0,20,20,3.7,YES,329,20,34502,83357,3168,11647,93.75,66-94 (high; shared dev-host)
912740f,production,production+medium-classes+large-cache-extended,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo3_off_vs_onext,free,free_ns,14805551,80335,14725216 (runner: +14721423),507538,113489,129.717,2.101,yes(B-faster/medium wins),0,20,20,3.4,YES,329,20,34502,83357,3168,11647,93.75,66-94 (high; shared dev-host)
912740f,production,production+medium-classes+large-cache-extended,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches/phase),combo3_off_vs_onext,realloc,realloc_ns,49531,18801094,-18751563 (runner: -19377515),2066258,462029,-41.940,2.101,yes(A-faster/medium ~380x slower),20,0,20,10.7,YES,329,20,34502,83357,3168,11647,93.75,66-94 (high; shared dev-host)
912740f,production(off),production(off) SAME-VS-SAME CONTROL,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),win32,1.97.0,A/B/B/A (20 pairs = 80 launches),control_off_vs_off,realloc,realloc_ns,~56000 (launch-mean),~56000 (launch-mean),625,7684,1718,0.364,2.101,NO (harness honesty PASS),8,12,20,1229.4,NO (expected: no real effect to resolve),329,329,34497,34497,3167,3167,n/a,66-94 (high; shared dev-host)
