commit_sha,feature_set,run,small_population,large_population,background_allocs,total_fresh_allocs,total_growth_realloc_steps,total_alloc_activity,promotion_count,promotion_bytes_sum,promotion_bytes_min,promotion_bytes_max,promotion_bytes_mean,ratio_promotions_over_total_alloc_activity,ratio_promotions_over_growth_steps,ratio_promotions_over_objects,hist_0_4kib,hist_4_16kib,hist_16_64kib,hist_64_128kib,hist_128_256kib,hist_256_512kib,hist_512_1024kib,hist_1mib_plus
0f6ce0d,production+medium-classes+bench-internals,1,4000,40,20000,24040,36682,60722,33,4325376,131072,131072,131072.0,0.000543,0.000900,0.008168,0,0,0,0,33,0,0,0
0f6ce0d,production+medium-classes+bench-internals,2,4000,40,20000,24040,36682,60722,33,4325376,131072,131072,131072.0,0.000543,0.000900,0.008168,0,0,0,0,33,0,0,0
