commit_sha,active_features,cpu,os,measurement_method,iterations,component_1_os_roundtrip_ns,component_23_table_metadata_ns,avoidable_123_ns,decommit_madvfree_ns,component_5_page_faults_ns,payload_pages,ns_per_fault,component_4_recommit_ns,irreducible_45_ns,aprime_current_cycle_ns,aprime_minus_b_ns,avoidable_pct,irreducible_pct,verdict,raw_log
bd1bd3e,production bench-internals,i7-11800H@2.30GHz,WSL2 Linux 6.18.33.2,wall-clock Instant,200,6776,20456,27232,195814,1906575,1006,1895,0,2102388,2215980,113592,1.3,98.7,TRIGGER2_DOES_NOT_FIRE,_raw_r29_3_decomposition_run1.log
bd1bd3e,production bench-internals,i7-11800H@2.30GHz,WSL2 Linux 6.18.33.2,wall-clock Instant,200,3676,17227,20904,216850,1937261,1006,1926,0,2154111,2190767,36656,1.0,99.0,TRIGGER2_DOES_NOT_FIRE,_raw_r29_3_decomposition_run2.log
