before_commit_sha,after_commit_sha,feature_set,cpu,os,bench,before_ir,after_ir,delta_ir,kind,doc_commit
f3020fdb5e0f0dcd41f3bc46a3d2ab44e5fce0df,5d72bc633193938181e2d06f8c584617ebaecf42,production bench-internals,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),realloc_grow,492694,492574,-120,"treatment (16 geometric realloc-grow steps via HeapCore::realloc move leg)",f51ec37177b34cf7dd941dd352063a47249b1104
f3020fdb5e0f0dcd41f3bc46a3d2ab44e5fce0df,5d72bc633193938181e2d06f8c584617ebaecf42,production bench-internals,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),small_churn_16b,8055,8055,0,"kill-gate (plain alloc, never calls realloc, must be flat)",f51ec37177b34cf7dd941dd352063a47249b1104
f3020fdb5e0f0dcd41f3bc46a3d2ab44e5fce0df,5d72bc633193938181e2d06f8c584617ebaecf42,production bench-internals,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),medium_class_dealloc_churn_16b,8055,8055,0,"kill-gate (plain alloc dealloc churn, must be flat)",f51ec37177b34cf7dd941dd352063a47249b1104
f3020fdb5e0f0dcd41f3bc46a3d2ab44e5fce0df,5d72bc633193938181e2d06f8c584617ebaecf42,production bench-internals,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),churn_256b,8055,8055,0,"kill-gate (plain alloc, never calls realloc, must be flat)",f51ec37177b34cf7dd941dd352063a47249b1104
f3020fdb5e0f0dcd41f3bc46a3d2ab44e5fce0df,5d72bc633193938181e2d06f8c584617ebaecf42,production bench-internals,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),churn_write_256b,8311,8311,0,"kill-gate (plain alloc write churn, never calls realloc, must be flat)",f51ec37177b34cf7dd941dd352063a47249b1104
