commit_sha,feature_set,virgin_zero_skip,cpu,os,rustc,scenario,size,touch,reps,refill_n,mean_hits,min_hits,expected_hits,mean_zp,min_zp,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_act_pct,min_act_pct,oracle,landing_commit
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,full,15,4,16.00,16,16,0.00,0,11523.3,11225.0,10593.8,13437.5,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,notouch,15,1,16.00,16,16,0.00,0,1839.6,1825.0,1787.5,1968.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,onebyte,15,1,16.00,16,16,0.00,0,2009.6,1887.5,1762.5,2618.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,full,15,1,16.00,16,16,0.00,0,41295.4,37668.8,31406.2,58143.8,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,notouch,15,1,16.00,16,16,0.00,0,3931.7,4062.5,3400.0,4712.5,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,onebyte,15,1,16.00,16,16,0.00,0,3915.8,3743.8,3718.8,4700.0,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats",false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,full,15,1,16.00,16,16,0.00,0,105497.5,104750.0,81681.2,125137.5,0.00,0.00,NA,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,retention,4k,16,15,15,32767,32767,true,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,retention,16k,4,3,3,7,7,true,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,retention,64k,1,0,0,0,0,true,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,retention,128k,1,0,0,0,0,true,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,notouch,15,16,15.00,15,15,0.00,0,257.5,187.5,162.5,637.5,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,onebyte,15,16,15.00,15,15,0.00,0,2207.1,2162.5,2068.8,2568.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,full,15,16,15.00,15,15,0.00,0,5124.6,5112.5,4975.0,5362.5,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,notouch,15,4,12.00,12,12,0.00,0,564.6,512.5,437.5,1056.2,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,onebyte,15,4,12.00,12,12,0.00,0,9819.2,9637.5,8443.8,11837.5,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,full,15,4,12.00,12,12,0.00,0,22331.2,22493.8,20000.0,24218.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,notouch,15,1,0.00,0,0,0.00,0,754.2,712.5,675.0,943.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,onebyte,15,1,0.00,0,0,0.00,0,35572.1,35575.0,31137.5,42618.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,64k,full,15,1,0.00,0,0,0.00,0,91308.3,87362.5,80031.2,122356.3,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,notouch,15,1,0.00,0,0,0.00,0,1354.6,1331.2,1187.5,1556.2,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,onebyte,15,1,0.00,0,0,0.00,0,71800.4,66706.2,61031.2,112518.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,128k,full,15,1,0.00,0,0,0.00,0,160380.4,165150.0,127362.5,206868.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,notouch,15,16,16.00,16,16,16.00,16,120.4,118.8,112.5,162.5,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,onebyte,15,16,16.00,16,16,16.00,16,118.8,118.8,112.5,125.0,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,full,15,16,16.00,16,16,16.00,16,2959.6,2943.8,2925.0,3093.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,notouch,15,4,16.00,16,16,16.00,16,334.2,331.2,275.0,481.3,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,onebyte,15,4,16.00,16,16,16.00,16,213.8,193.8,187.5,306.2,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,full,15,4,16.00,16,16,16.00,16,9977.1,10462.5,7550.0,12418.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,notouch,15,1,16.00,16,16,16.00,16,2025.0,2037.5,1743.8,2118.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,onebyte,15,1,16.00,16,16,16.00,16,1790.4,1756.2,1743.8,1950.0,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,full,15,1,16.00,16,16,16.00,16,44968.3,46031.2,31300.0,66731.2,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,notouch,15,1,16.00,16,16,16.00,16,3919.6,3806.2,3443.8,5837.5,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,onebyte,15,1,16.00,16,16,16.00,16,3772.1,3762.5,3750.0,3943.8,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
14a9ef34145cc62188d734cf6987bcfd4dbcb088,"production alloc-stats virgin-zero-skip",true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,full,15,1,16.00,16,16,16.00,16,92092.1,93768.8,72318.8,118131.2,100.00,100.00,PASS,dece4a7025f80bc51c756e3c278a72e5b6c1a1b7
