comparison,commit,git_dirty,cargo_features,cpu,n_pairs,mean_delta_ns,sd_ns,se_ns,t,crit_p05,significant,sign_a_faster,sign_b_faster,ties,activation_decommit_calls_default,provenance_json
default_vs_throughput,1272a522a45acdbb58dd6b0dede946b1ced12fa6,true,"production alloc-stats","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",20,-7437082.5,279023521.38,62391556.11,-0.1192,2.101,false,12,8,0,40,docs/perf/paired_ab_runs/2026-07-30T12-56-39-878Z.json
same_vs_same_control,1272a522a45acdbb58dd6b0dede946b1ced12fa6,true,"production alloc-stats","11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz",20,-10089332.5,43414478.0,9707772.4,-1.0393,2.101,false,11,9,0,40,docs/perf/paired_ab_runs/2026-07-30T12-58-24-246Z.json
