arm,readers,mean_ns,median_ns,commit_sha
one_shot,1,44.263999999999996,40.13625,54bfe96f7ae4649ae9813cc4b6908fae1d40aec0
manual_guard,1,4.83971875,4.925,54bfe96f7ae4649ae9813cc4b6908fae1d40aec0
closure_wrapper,1,3.35790625,3.364375,54bfe96f7ae4649ae9813cc4b6908fae1d40aec0
concurrent_manual_guard,8,5.40177734375,5.3630859375,54bfe96f7ae4649ae9813cc4b6908fae1d40aec0
