base_commit_sha,before_tree_sha,feature_set,cpu,os,bench,before_ir,after_ir,delta_ir,kind,landing_commit
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_zeroed_magazine_prefill_only_16b,7832,7832,0,"control (untouched by F7)",UNFILLED
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),alloc_zeroed_magazine_hit_only_16b,8623,8431,-192,"treatment (16 magazine hits via alloc_zeroed)",UNFILLED
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),small_churn_16b,8437,8437,0,"kill-gate (plain alloc, must be flat)",UNFILLED
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),churn_256b,8437,8437,0,"kill-gate (plain alloc, must be flat)",UNFILLED
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),aligned_churn_640b_a128,8373,8373,0,"kill-gate (plain alloc, must be flat)",UNFILLED
5d72bc633193938181e2d06f8c584617ebaecf42,3dfa28c9532427cbf00e4204f98c80d783056608,production bench-internals virgin-zero-skip,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045_(WSL/valgrind callgrind),cold_alloc_free_256x16b,51942,51942,0,"kill-gate (plain alloc, must be flat)",UNFILLED
