R31_0_virgin,4k,notouch,15,16,15.00,15,15,0.00,0,2851.2,2737.5,2087.5,3993.7,100.00,100.00,NA
R31_0_virgin,4k,onebyte,15,16,15.00,15,15,0.00,0,2037.9,1918.8,1856.2,2506.2,100.00,100.00,NA
R31_0_virgin,4k,full,15,16,15.00,15,15,0.00,0,4601.2,4243.8,3843.8,6793.8,100.00,100.00,NA
R31_0_virgin,16k,notouch,15,4,12.00,12,12,0.00,0,14034.2,13437.5,9975.0,21581.2,100.00,100.00,NA
R31_0_virgin,16k,onebyte,15,4,12.00,12,12,0.00,0,12012.5,12112.5,9493.8,14462.5,100.00,100.00,NA
R31_0_virgin,16k,full,15,4,12.00,12,12,0.00,0,16421.7,16037.5,14937.5,20206.2,100.00,100.00,NA
R31_0_virgin,64k,notouch,15,1,0.00,0,0,0.00,0,47182.5,48281.2,34356.2,60256.2,100.00,100.00,NA
R31_0_virgin,64k,onebyte,15,1,0.00,0,0,0.00,0,53531.7,50875.0,46250.0,76268.8,100.00,100.00,NA
R31_0_virgin,64k,full,15,1,0.00,0,0,0.00,0,95523.3,93937.5,89037.5,106650.0,100.00,100.00,NA
R31_0_virgin,128k,notouch,15,1,0.00,0,0,0.00,0,93875.0,91412.5,74537.5,160893.8,100.00,100.00,NA
R31_0_virgin,128k,onebyte,15,1,0.00,0,0,0.00,0,93796.7,92675.0,80081.2,107150.0,100.00,100.00,NA
R31_0_virgin,128k,full,15,1,0.00,0,0,0.00,0,218827.5,218893.8,179987.5,243293.8,100.00,100.00,NA
R31_0_recycled,4k,notouch,15,16,16.00,16,16,0.00,0,149.2,162.5,100.0,187.5,0.00,0.00,NA
R31_0_recycled,4k,onebyte,15,16,16.00,16,16,0.00,0,144.6,150.0,81.2,181.2,0.00,0.00,NA
R31_0_recycled,4k,full,15,16,16.00,16,16,0.00,0,3842.1,3881.3,3243.8,3950.0,0.00,0.00,NA
R31_0_recycled,16k,notouch,15,4,16.00,16,16,0.00,0,788.3,775.0,612.5,1012.5,0.00,0.00,NA
R31_0_recycled,16k,onebyte,15,4,16.00,16,16,0.00,0,769.6,950.0,306.2,1031.2,0.00,0.00,NA
R31_0_recycled,16k,full,15,4,16.00,16,16,0.00,0,13845.4,15125.0,7643.7,17362.5,0.00,0.00,NA
R31_0_recycled,64k,notouch,15,1,16.00,16,16,0.00,0,1799.2,1725.0,1718.8,2075.0,0.00,0.00,NA
R31_0_recycled,64k,onebyte,15,1,16.00,16,16,0.00,0,1846.7,1818.8,1718.8,2018.8,0.00,0.00,NA
R31_0_recycled,64k,full,15,1,16.00,16,16,0.00,0,42704.2,45050.0,31275.0,49725.0,0.00,0.00,NA
R31_0_recycled,128k,notouch,15,1,16.00,16,16,0.00,0,6233.3,6493.8,4912.5,8150.0,0.00,0.00,NA
R31_0_recycled,128k,onebyte,15,1,16.00,16,16,0.00,0,6095.4,6450.0,3525.0,7737.5,0.00,0.00,NA
R31_0_recycled,128k,full,15,1,16.00,16,16,0.00,0,103737.9,96912.5,94350.0,122950.0,0.00,0.00,NA
