commit,features,cpu,os,rustc_wsl,valgrind,component,method,arm_or_pair,raw_ir_values,shared_prefix_or_bootstrap,isolated_ir,ops,ir_per_op,pct_of_free_path
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,real_free_loop_total,shared-prefix,dealloc_free_only_16b - dealloc_prealloc_only_16b,"12923;7003",7003,5920,64,92.50,100.0%
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,segment_base_of_ptr,shared-prefix (R23-1),dealloc_segment_base_of_ptr_probe_only_16b - dealloc_prealloc_only_16b,"7581;7003",7003,578,64,9.03,9.8%
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,contains_base_tier1_hit,shared-prefix (R23-1),dealloc_contains_base_probe_only_16b - dealloc_prealloc_only_16b - base_only,"8104;7003;578",7003,523,64,8.17,8.8%
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,contains_base_tier2_hash_probe_standalone,shared-prefix (R23-3),dealloc_hash_contains_only_probe_16b - dealloc_prealloc_only_16b - base_only,"8349;7003;578",7003,768,64,12.00,13.0% (if it fired instead of Tier-1; NOT part of this workload's real path)
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,own_thread_body_oracle_plus_push,shared-prefix (R23-3),dealloc_own_thread_body_only_16b - dealloc_prealloc_only_16b - base_only,"12362;7003;578",7003,4781,64,74.70,80.8%
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,free_path_residual,arithmetic,real_free_loop - base_only - contains_base_only - own_thread_body_only,"5920;578;523;4781",n/a,38,64,0.59,0.6%
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,alloc_magazine_hit,shared-prefix (R23-3; first N/2N draft was invalid, see report §3.1),alloc_magazine_hit_only_16b - alloc_magazine_prefill_only_16b,"7808;7450",7450,358,16,22.38,32.4% of small_churn_16b's 69.0 Ir/op combined alloc+free marginal (R23-2)
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,carve_batch_standalone,N/2N,carve_batch_only_16b_2n - carve_batch_only_16b,"74185;68284",n/a (fresh AllocCore per arm),5901,256,23.05,n/a (standalone AllocCore, not comparable pct of full free path)
3cf2d669fd4102536a0c6851c0f6eef64de1780d,production,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz (8C/16T),linux (WSL2 6.18.33.2-microsoft-standard-WSL2),1.98.0-nightly (bd08c9e71 2026-06-25),3.22.0,recycle_freelist_pop_round2_only,shared-prefix (R23-3; first N/2N draft was invalid, see report §3.4),recycle_alloc_free_256x16b - cold_alloc_free_256x16b,"98343;50164",50164,48179,256,188.20,n/a (compare to virgin-carve's 203.86 Ir/op full-path marginal, R23-2 N/2N)
