=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===
RESULT sparse_ts=1 interval=4 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=11 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=5 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=13 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=6 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=15 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=7 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=17 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=8 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=19 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=9 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=21 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=10 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=23 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=11 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=25 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=12 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=27 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=13 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=29 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=14 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=31 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=15 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=33 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=16 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=35 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=17 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=37 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=18 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=39 released_cum=4 rss_kib=11392
RESULT sparse_ts=1 interval=19 events=1 arm=unthrottled used_post=16777216 guard_passed_cum=41 released_cum=4 rss_kib=11392
