field,comparison,arm_a,arm_b,metric,n_pairs,mean_a_ns,mean_b_ns,mean_delta_a_minus_b_ns,t_stat,df,crit_005,significant,sign_a_faster,sign_b_faster,ties,decommit_calls_a,decommit_calls_b,segments_reserved_a,segments_reserved_b,unit
# R26-3 (task #412) — production-entry-point A/B/B/A paired judge: does R25-5/R26-1's
# latency/decommit finding (cap 4->8 eliminates the decommit-driven slowdown) reproduce
# through the REAL #[global_allocator] SeferAlloc (NOT the AllocCore bypass R26-1 used)?
#
# Verdict: YES — cap8 is statistically-significantly faster than cap4 (t=12.212 >> crit
# 2.101, sign test 20/20 favoring cap8), and the decommit cliff reproduces exactly at the
# process level (cap4 decommit_calls_total=9 in all 40 launches; cap8=0 in all 40 launches).
# A same-vs-same control (cap4 vs cap4) shows t=-0.282 (well under crit) and an even 8/12
# sign split — the harness is NOT manufacturing a signal.
#
# git_commit: 779474e2e806d30c89450514b7b0853311ee1b6c (dirty working tree)
# rustc: 1.97.0 (2d8144b78 2026-07-07)
# cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz, 8 cores / 16 logical
# power_plan: Balanced
# cargo_features: production alloc-stats
# metric: elapsed_ns (wall-clock for one run_workload() call: warm-up batch + 8 timed
#         batches of 120 prefill+churn+teardown cycles @1024B = 960 timed cycles)
# protocol: A/B/B/A, 20 pairs = 80 process launches (40 per arm)
# raw log: docs/perf/_raw_r26_3_production_teardown_ab.log
# provenance: docs/perf/paired_ab_runs/2026-07-28T16-25-31-476Z.json (main run)
#             docs/perf/paired_ab_runs/2026-07-28T16-26-30-521Z.json (control run)
#
# mean_a_ns / mean_b_ns are the mean of the 20 per-block representative values (each block
# = mean of its 2 same-arm A/B/B/A samples). decommit_calls_a/b are the DISTINCT values
# observed across all 40 launches per arm (both deterministic: a single value each).
main,cap4,cap8,elapsed_ns,20,147581243,123914448,23666795,12.212,19,2.101,true,0,20,0,9,0,16,8,ns
control,cap4,cap4,elapsed_ns,20,149031833,149554155,-522322.5,-0.2820977,19,2.101,false,8,12,0,9,9,16,16,ns
